ID,Rank,Symbol,Name,Price(USD),Max Supply
casper,65,CSPR,Casper,0.0485380994597436,
injective-protocol,66,INJ,Injective,7.2652741456099459,100000000.0000000000000000
frax-share,67,FXS,Frax Share,7.2527307166225915,
mina,68,MINA,Mina,0.5757500574082019,
dash,69,DASH,Dash,44.9652707106083430,18900000.0000000000000000
ecash,70,XEC,eCash,0.0000260201332021,21000000000000.0000000000000000
iota,71,MIOTA,IOTA,0.1793736291441601,2779530283.0000000000000000
gatetoken,72,GT,GateToken,4.9125560474564437,
huobi-token,73,HT,Huobi Token,2.9119492936938217,500000000.0000000000000000
trust-wallet-token,74,TWT,Trust Wallet Token,1.0908299737433886,1000000000.0000000000000000
loopring,75,LRC,Loopring,0.2980924150130299,1374513896.0000000000000000
xinfin-network,76,XDC,XinFin Network,0.0322701131124493,
fei-protocol,77,FEI,Fei Protocol,0.9120832407729964,
wootrade,78,WOO,WOO Network,0.2272254313070515,
zilliqa,79,ZIL,Zilliqa,0.0240811897540026,21000000000.0000000000000000
thorchain,80,RUNE,THORChain,1.1511909113373601,500000000.0000000000000000
pancakeswap,81,CAKE,PancakeSwap,1.8432516234667578,750000000.0000000000000000
mask-network,82,MASK,Mask Network,4.5989933439871947,100000000.0000000000000000
nexo,83,NEXO,Nexo,0.6525448425731368,1000000000.0000000000000000
singularitynet,84,AGIX,SingularityNET,0.2955312389585311,2000000000.0000000000000000
enjin-coin,85,ENJ,Enjin Coin,0.3463505396950122,1000000000.0000000000000000
ftx-token,86,FTT,FTX Token,1.0336469543036823,352170015.0000000000000000
dydx,87,DYDX,dYdX,2.1414183436137182,1000000000.0000000000000000
1inch,88,1INCH,1inch Network,0.4013175451809909,
basic-attention-token,89,BAT,Basic Attention Token,0.2197910372755495,1500000000.0000000000000000
oasis-network,90,ROSE,Oasis Network,0.0529118412205429,10000000000.0000000000000000
gnosis-gno,91,GNO,Gnosis,115.7473858573578016,3000000.0000000000000000
nem,92,XEM,NEM,0.0328067098498909,8999999999.0000000000000000
holo,93,HOT,Holo,0.0016666267407069,
qtum,94,QTUM,Qtum,2.6383282255202947,107822406.0000000000000000
ravencoin,95,RVN,Ravencoin,0.0219732570898018,21000000000.0000000000000000
theta-fuel,96,TFUEL,Theta Fuel,0.0438317131185911,
compound,97,COMP,Compound,35.6803493226914585,10000000.0000000000000000
balancer,98,BAL,Balancer,5.3479498347289010,96150704.0000000000000000
celo,99,CELO,Celo,0.5304759743155307,1000000000.0000000000000000
ankr,100,ANKR,Ankr,0.0260799799445919,10000000000.0000000000000000
